/company/waywire,#waywire,http://www.waywire.com,news,1750000,acquired,USA,NY,New York,New York,1,6/1/2012,2012-06,2012-Q2,2012,6/30/2012,6/30/2012,10/17/2013
/company/club-domains,.Club Domains,http://dotclub.com,software,7000000,operating,USA,FL,Fort Lauderdale,Oakland Park,1,10/10/2011,2011-10,2011-Q4,2011,5/31/2013,5/31/2013,
/company/0xdata,0xdata,http://www.0xdata.com,analytics,1700000,operating,USA,CA,SF Bay,Mountain View,1,,,,,1/3/2013,1/3/2013,1/1/2012
/company/1-800-dentist,1-800-DENTIST,http://www.1800dentist.com,health,,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/1986,1986-01,1986-Q1,1986,8/19/2010,8/19/2010,8/19/2010
/company/1-800-doctors,1-800-DOCTORS,http://1800doctors.com,health,1750000,operating,USA,NJ,Iselin,Iselin,1,1/1/1984,1984-01,1984-Q1,1984,3/2/2011,3/2/2011,
/company/10-20-media,10-20 Media,http://www.10-20media.com,ecommerce,1550000,operating,USA,MD,Washington DC,Woodbine,3,1/1/2001,2001-01,2001-Q1,2001,3/30/2010,12/28/2011,
/company/1000memories,1000memories,http://1000memories.com,web,2535000,acquired,USA,CA,SF Bay,San Francisco,2,7/1/2010,2010-07,2010-Q3,2010,1/1/2010,2/16/2011,7/4/2013
/company/1000museums-com,1000museums.com,,web,1289879,operating,USA,WA,Seattle,Bellevue,2,,,,,4/5/2011,4/8/2013,2/16/2013
/company/100plus,100Plus,http://www.100plus.com,analytics,1250000,acquired,USA,CA,SF Bay,San Francisco,2,9/16/2011,2011-09,2011-Q3,2011,11/2/2011,11/30/2011,2/27/2013
/company/1010data,1010data,http://www.1010data.com,software,35000000,operating,USA,NY,New York,New York,1,1/1/2000,2000-01,2000-Q1,2000,3/8/2010,3/8/2010,1/1/2012
/company/10bestthings,10BestThings,http://10bestthings.com,web,50000,closed,USA,OH,Cleveland,Cleveland,1,4/1/2009,2009-04,2009-Q2,2009,4/1/2009,4/1/2009,
/company/10x-technologies,10X Technologies,http://www.10xtechnology.com,biotech,3000000,operating,USA,CA,SF Bay,Oakland,1,1/1/2012,2012-01,2012-Q1,2012,11/7/2012,11/7/2012,
/company/10x10-room,10X10 Room,http://10x10room.com,software,77500,operating,USA,MA,Boston,Lexington,1,1/1/2010,2010-01,2010-Q1,2010,10/12/2011,10/12/2011,
/company/11i-solutions,11i Solutions,http://www.11isolutions.com,enterprise,1800000,closed,USA,AL,Huntsville,Huntsville,1,,,,,3/22/2011,3/22/2011,
/company/121nexus,121nexus,http://www.121nexus.com,software,719000,operating,USA,RI,Providence,Providence,4,10/7/2011,2011-10,2011-Q4,2011,2/6/2012,7/1/2013,4/27/2012
/company/12society,12Society,http://www.12Society.com,ecommerce,,acquired,USA,CA,Los Angeles,West Hollywood,1,1/1/2012,2012-01,2012-Q1,2012,4/5/2012,4/5/2012,7/3/2013
/company/1366-technologies,1366 Technologies,http://www.1366tech.com,manufacturing,63950000,operating,USA,MA,Boston,Lexington,7,1/1/2007,2007-01,2007-Q1,2007,3/27/2008,10/15/2013,6/17/2011
/company/140-proof,140 Proof,http://140proof.com,advertising,5500000,operating,USA,CA,SF Bay,San Francisco,2,1/11/2010,2010-01,2010-Q1,2010,7/1/2009,4/28/2011,1/24/2013
